feature,importance
actual_price_log,1.323562974724605
discount_percentage,0.4422068789084098
protector,0.24303098492511357
work,0.17475368259075946
ninja,0.16885910244199692
colours,0.15122562122035627
tight,0.14679409859096418
reading,0.1437528169110901
ports,0.13864291655101224
protected,0.13540749102250083
monitor,0.13503904947174641
pieces,0.12757591404835072
female,0.1272282590076716
fire,0.12635118194148387
exterior,0.12537980278727726
near,0.12442304132393078
pvc,0.12405665861431635
boltt,0.12360641922589441
pack,0.12174387016378975
tests,0.11814132027195423
male,0.11794986427810018
keyboard,0.11613795949582517
speed,0.11540230189482666
that,0.11537611709889195
protect,0.11186988441716297
gone,0.11055624356389866
480mbps,0.11011315480419266
category_main_OfficeProducts,0.10776658837752116
wearable,0.1075342807330931
q122,0.1075342807330931
had,0.1074749894644084
watch,0.10670845428005507
make,0.10660391534681168
sturdy,0.10501644016634246
transparent,0.1046374496165373
functionality,0.10372119627895765
silicone,0.10352337415983817
thin,0.10258444990131724
can,0.10230833952239728
xl,0.10182575369160381
clear,0.10123108620034177
compact,0.10104110362020124
stable,0.100664102878927
understand,0.1003572448154264
laptops,0.10015740544252309
flexible,0.09991633438681977
spare,0.09947573495028292
solution,0.09904364840263126
curved,0.09805826185075255
pure,0.09800869385254841
tv,0.09766552885934959
satisfactory,0.09738727325079118
match,0.09736640641768202
local,0.09651567109185222
various,0.09628793058754358
nice,0.09587249709216175
priced,0.09447883957111752
do,0.09428782283666841
connection,0.09282968908955405
xr,0.09257157079003743
insert,0.09222434852714403
genuine,0.0921966941749728
soft,0.09212088018298094
speeds,0.09194721344410361
okay,0.09175208571287055
ui,0.0916906405551226
tape,0.09071330341320165
accurate,0.09023607113749257
cartridge,0.089863112930723
color,0.0891410390747297
room,0.08900240240024221
cables,0.0880670643718966
serves,0.08801215463525774
15,0.0878825678061701
fitting,0.08785656158702371
great,0.08779587418628233
properly,0.08777108566039694
fresh,0.08729541983824854
ensure,0.08704201899278471
95,0.08695603321695092
tested,0.08667839182894872
might,0.08647763457289981
these,0.08632700568926491
toaster,0.08625268523376549
received,0.08622615509451152
fit,0.08576254585739988
fully,0.08560661741903602
converter,0.08502520145557313
added,0.08501781589895789
want,0.08469788415115946
seller,0.08433689868450857
smartwatch,0.08350206350942711
fast,0.08325768299366479
say,0.08298083451140414
long,0.08266832921911614
emergency,0.08265243805795099
plug,0.08261169110702905
tank,0.08141856288900391
many,0.08133621482677122
ring,0.08069755160067403
ease,0.08067061793079758
strap,0.08065701962621814
dirt,0.08021972345022631
scale,0.0799542894557004
dual,0.07890807626104877
3d,0.07884482251754636
month,0.07827986235503168
flat,0.07751524579774756
avoid,0.07731634067347551
sensors,0.07711904851080324
spiral,0.07662806365366968
connectivity,0.07655048070017259
watches,0.07647587180688174
rotate,0.0764298423063477
category_main_Other,0.07633164665535988
liters,0.07628915831388912
speakers,0.07591803462955032
33w,0.07583867436459578
health,0.07579760487445891
sticky,0.07569034226757677
multiple,0.07534965993449691
frequent,0.07532395767462906
desk,0.07452637588285788
prevents,0.07423350217072809
beautiful,0.07423034034947161
remove,0.07376772970519976
data,0.07365495755317247
turn,0.07349949169541294
which,0.07328818623475129
current,0.07287284234038671
xtend,0.07263243602790528
through,0.07252852132914722
couldn,0.07244617563508043
used,0.07235951775320744
powerful,0.0721072573158863
screen,0.07198798798742403
overpriced,0.07180023189177824
pet,0.07179333696429631
little,0.07166935219918959
versatile,0.07161312494418673
total,0.07153928249338555
design,0.0713669194691534
wouldn,0.0711387247482768
2k,0.07107436234076299
portrait,0.07092481674226865
reviews,0.07090416186096973
open,0.07071873352089986
12,0.07062999803188642
cell,0.07049458597592476
metal,0.07039549569182812
apple,0.070390733007199
mic,0.070212222316188
source,0.06988767319525253
delicate,0.06979565591054031
play,0.06966392994387983
warranty,0.06940289088546012
app,0.06914724635234742
cool,0.06901777080171193
powering,0.06899988553681359
aux,0.06899160675000528
grill,0.0689444673344606
this,0.06872170380733407
favourite,0.06857747887980359
perfectly,0.0685356048682849
instant,0.06850468286797273
daily,0.06845594755947274
single,0.06842809647074896
texture,0.06842735732844828
brightness,0.06831360725216798
carbon,0.06823625427791849
return,0.06810021524989661
fits,0.06800469188039522
mbps,0.0677572228547035
life,0.06771451641283556
obviously,0.06751587795030835
flexibility,0.06750453964037584
adjust,0.0674764924310722
ink,0.06718767319477024
laptop,0.0671129062292619
get,0.06704251942431574
filter,0.06681196038561452
space,0.066785175378352
gen,0.06671328582238406
purifier,0.06652174286757101
better,0.06650781890381936
mat,0.06648159358647747
optical,0.06644090456822166
tangle,0.06640477302389282
every,0.06637461630503184
measure,0.06629129713844814
desktop,0.06624127277295185
band,0.0661295986439773
own,0.06604539114413746
trouble,0.06600692598832483
prices,0.06573210243666128
resistance,0.06565681749520423
drawing,0.06559290648451245
amazing,0.06538563445266993
assistant,0.06530999151413251
height,0.06523879829477672
issues,0.06508971712453138
rupees,0.06496239918166198
faster,0.06480993947383538
appear,0.06455631532824589
were,0.06451516635627456
main,0.06451020258484678
jbl,0.06448070307231507
awesome,0.06444737755867876
ios,0.06438715388924794
waffle,0.06438350559541196
google,0.06424207865687405
short,0.06423518054888802
record,0.06405056083446621
electric,0.06393696864915975
iam,0.06382180831344729
drink,0.06379157815349033
efficient,0.06347522121855917
5000,0.06346334389354549
widely,0.0633342319530789
body,0.06320633283084444
similar,0.06314591023712131
printer,0.06307182863293627
screw,0.06301695946074175
indicator,0.06294806797022165
cost,0.06292896111045942
rapid,0.0629141133377005
either,0.06273172808168913
receive,0.06266237372668536
wires,0.06248533182487776
copper,0.06248367637663723
faces,0.06226072265007303
earbuds,0.06221898328559563
volume,0.06213389807483588
upto,0.062012475484793064
distance,0.06196935386159003
activities,0.06193056656223651
adapters,0.06191023736209883
sd,0.06172077955422401
wrap,0.0617197986754295
lifespan,0.06165568628095394
double,0.06150842476016126
plugging,0.061463405621034056
got,0.061360963767597636
card,0.06134001985430391
enhanced,0.06128039615698812
sandisk,0.061178756813393784
feet,0.061134562637709916
dslr,0.060819101054940775
pcs,0.0608024564063735
usb,0.06061941320573735
car,0.06050415208341337
pairing,0.060461228803884035
mrp,0.06040059381634274
drivers,0.06034533524891504
keys,0.06029329863193219
with,0.060264914686251315
induction,0.06024329306872644
corner,0.06016640907644082
minimum,0.06014411658156007
them,0.06007246014036931
gud,0.06007021964913968
optimized,0.05995045178264387
powerbank,0.05993037855354297
70,0.05986096991677897
saves,0.059829133153001646
fair,0.05978908660054669
office,0.05971729801368572
pipe,0.05970740797704998
blending,0.05946174763724378
vacuum,0.05944410815439139
200,0.059423001731557214
lithium,0.05938359332575268
tracks,0.05933616725118622
philips,0.05914503078866386
accessory,0.05905517968647361
vga,0.059039939605778
stopped,0.058826575982101795
protection,0.058810039268303464
steel,0.05866306763532901
enough,0.05844071863005104
small,0.058327056808475275
typing,0.05832597837193572
bit,0.058271342395463284
ki,0.05822525121519444
cord,0.05815278350303651
stay,0.05810826851516396
clean,0.05809298138471874
ssd,0.05808299013587326
000,0.05772299593530905
to,0.05772190561616115
book,0.05769847085836353
wow,0.057677514245032535
tracker,0.05760444868627417
feel,0.05759660312685939
most,0.057412077947947705
spo2,0.05736060173946941
ve,0.05735793993518746
will,0.05730743142185562
bass,0.0571421534408499
spaces,0.0571359830723846
marked,0.057013908760999966
steam,0.0569987747378834
pencil,0.05699120464310875
non,0.05696765137639851
bending,0.056914917510859336
secure,0.056905410799593624
suit,0.056850182867964144
whole,0.056844282295158886
price,0.05678864168134039
noise,0.05668269846903387
coating,0.056651133524373495
ac,0.05663679606563275
costly,0.05651989318112883
pair,0.056516472623821076
manufacturing,0.05632327312384224
part,0.05629907305601522
functions,0.056181737866890034
mechanism,0.05611111373753667
certified,0.05606357498078591
been,0.056039321693541214
quite,0.055896547041989555
im,0.05563537408547886
kodak,0.05555102790846063
website,0.05545531653206296
components,0.0554536470015106
definitely,0.055438294498968345
during,0.055129759600738334
carry,0.055127398112492176
1500,0.05511942746373879
back,0.05509498491370165
mean,0.05504320883906367
reset,0.055023212850253536
charging,0.054915264690454414
click,0.05485811162929606
provides,0.054825663061045304
real,0.05463169339847738
watt,0.05457650548492488
digital,0.05453504899552564
some,0.054534196808381626
interference,0.0544201088318448
hi,0.05441155785921866
mesh,0.0543469156160208
preferred,0.05426868363997095
bt,0.054257010208358394
ml,0.05416340981600567
school,0.054062973459616186
11,0.054000376400579066
visit,0.05393507945150681
helpful,0.05392062615393927
waterproof,0.05388493200768318
section,0.053830439786305154
keep,0.05364095057009338
dedicated,0.053633246811196446
cm,0.053553863731758196
overall,0.053425517932871425
charger,0.05342442715077227
jars,0.05338833957900441
directly,0.053300157509667156
seconds,0.05323909316340447
hook,0.05307439431912316
charges,0.05305671578942062
variety,0.05294748746927332
looks,0.052915424224676
hdmi,0.0528686883457699
replacement,0.052803229957196225
heater,0.05273430818858097
professional,0.05273332270996798
spray,0.052625366492801876
hrs,0.052598004392217436
locking,0.05236111399482702
ft,0.05229136313888179
additional,0.05220525916454255
cellphone,0.052056873321015724
replaced,0.05204555441591048
free,0.05183474153133978
materials,0.05183175792929707
4a,0.05181452536241122
products,0.05173599041723427
since,0.05172771585976207
foam,0.05159502745253085
sewing,0.0515244133882744
150,0.05145034619945836
motor,0.05138772440741918
ordinary,0.0513252432461277
lenovo,0.05129930470257856
peripherals,0.05127535121863734
access,0.051202835746367956
deliver,0.05113012704679203
item,0.05099935227135616
quantity,0.05095794203797752
less,0.0509418297841611
folded,0.0507772562599671
devices,0.05072485887197451
happy,0.0507171354443837
802,0.05060686443783835
holder,0.05056950803798429
types,0.050419280121978174
run,0.050340088915328325
sometime,0.05031555641882532
plastic,0.05028654967494675
foldable,0.05024412536704894
raise,0.05015349446231546
it,0.05006059466421455
etc,0.05005435584311795
moderate,0.04980309061431695
mostly,0.04976326090144575
computers,0.04970591371071258
noice,0.04967536848915162
process,0.049667736664172076
filters,0.04953552573864801
should,0.049497702490813145
reducing,0.04949462323845004
aaa,0.0494266987873716
slide,0.0493969699458513
lighting,0.049286235374844334
2019,0.04925894614329377
truly,0.04922276096008964
showing,0.049208859133377886
by,0.049112089612681174
defects,0.04909645269728439
60hz,0.049088383350559726
is,0.049063535710846526
ghz,0.04898400609018318
reasonable,0.04897325560130743
practical,0.04886631896157808
takes,0.04886049025902876
contents,0.04885204126168341
physical,0.04861119757321524
volts,0.04855733495152861
information,0.04853217461807118
android,0.04852259249533293
too,0.048517712097825495
continuously,0.04850069933653637
brand,0.04848364784407728
quick,0.048451330931715796
longer,0.048397166325732245
ok,0.04829558484641014
have,0.048269127210602676
drives,0.04812263468448155
hope,0.048075668494036716
one,0.04790345718395777
complain,0.04789087536335952
write,0.047829868444592735
response,0.047692949705765424
visible,0.04769283070259721
hz,0.0476905380755154
favorite,0.04748926134545849
tablet,0.04748911817901069
functioning,0.047361320534799155
except,0.047332536366454875
strength,0.047326885605512445
without,0.04723476028370317
trust,0.047228369597854286
1st,0.04715312684365978
service,0.04706532475012865
live,0.04703471993569431
fabric,0.04702422089262077
tft,0.04700608115217375
months,0.04699172578343328
flimsy,0.046899171078772534
movement,0.046885867996604685
customer,0.046866430460055265
5v,0.04678589545000818
times,0.046727676209004136
s20,0.04666631056488853
automatically,0.046654670487040126
cute,0.04662950975930779
medium,0.04662372644238116
traveling,0.046597201446948816
wise,0.04647894827827676
being,0.04646025593608223
cancellation,0.04644444722990155
cartridges,0.04642939204719565
lagging,0.04634230592957171
mist,0.046319180884713394
modes,0.0462606950861427
clips,0.04609369404575168
superior,0.04603004452547027
more,0.04599515494566002
advanced,0.04597565947726017
levels,0.045957365229528334
inside,0.04577702768433847
seen,0.045764247295071336
wheel,0.045683352095539136
xiaomi,0.045673616763048965
