model,RMSE,MAE,R2,MAPE_%,task,Accuracy,Precision,Recall,F1,ROC_AUC
LinearRegression,957.31,271.04,0.9868,13.72,regression,,,,,
Ridge,534.61,186.93,0.9959,8.73,regression,,,,,
DecisionTree,2777.26,610.95,0.889,11.98,regression,,,,,
RandomForest,2427.95,419.95,0.9151,7.86,regression,,,,,
XGBoost,2749.87,632.51,0.8912,13.62,regression,,,,,
LightGBM,3101.34,455.31,0.8616,6.68,regression,,,,,
Ridge_tuned,534.61,186.93,0.9959,8.73,regression,,,,,
LogisticRegression,,,,,classification,0.7815,0.7836,0.7778,0.7807,0.8532
DecisionTree,,,,,classification,0.6593,0.6641,0.6444,0.6541,0.6658
RandomForest,,,,,classification,0.7889,0.825,0.7333,0.7765,0.8715
XGBoost,,,,,classification,0.7926,0.7883,0.8,0.7941,0.8494
LightGBM,,,,,classification,0.7741,0.7937,0.7407,0.7663,0.8537
RandomForest_tuned,,,,,classification,0.7741,0.8558,0.6593,0.7448,0.856
